,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30
otu_1000,9.762313879507473e-05,0.00010102011392461501,4.711714835690828e-05,7.505064822436699e-05,5.54561339220973e-05,0.0001019394073899948,0.00015863891118864982,4.618832911333576e-05,0.0024502428538428216,4.685128755865311e-05,7.902534431271569e-05,4.889512533070528e-05,3.1318617853475644e-05,7.124529318697672e-05,0.0001439222056215573,0.0003978145618352344,0.00011710541226742866,6.689226118818398e-05,0.00026394555892844484,0.00038538004457129614,0.0003997613636628699,8.897249317178383e-05,0.0001846957096786155,0.00017506272287890547,4.8347587024310105e-05,2.9479709994503267e-05,8.29009070009161e-05,0.0005372760948581879,8.076669708469538e-05,7.289026528053517e-05
otu_1001,0.0002400671548547456,0.0002959067811753164,7.725589803191134e-05,0.00015767801145418793,0.003540269317939194,0.00011127147782702302,0.0001443947657319491,9.205426815785466e-05,0.0002509723894894831,3.040075085288154e-05,9.186419442828149e-05,1.506142642721241e-05,0.00031350338198943067,0.00014577451911381077,0.0001343374546303357,5.483241917676698e-05,0.00011296272981407471,8.938995191452767e-05,0.00013184029721412924,0.00037826275912655115,3.8417321935813994e-05,0.0008054597669609257,3.853205679652768e-05,8.35061696417727e-05,0.00031781597036135875,0.000353028136821906,0.00031901226428875817,0.00047848925993076514,0.00019253008891873587,0.00045181139781399484
otu_1002,9.538520557651546e-05,0.00033697325653024915,0.0002128177659796537,0.00016261425128300056,0.00013618914469868177,0.0012265183041281302,3.839104255188846e-05,0.0002053346322043539,0.001140436851474179,6.0702006016346576e-05,0.000140922253634214,4.9612892816117815e-05,8.123918258010717e-05,0.00013082533718052495,0.0003344340864726588,0.00038401774337232345,0.00038891010035876217,1.3649807518990699e-05,0.0002638497096596547,0.00022460089903012065,0.00014579489184359236,4.3249451745774e-05,6.953926345374753e-05,5.315648523257074e-05,9.731397145703166e-05,5.883027707167645e-05,5.882468234060696e-05,0.0003421671907980614,0.0007138089901129198,6.8834454021295e-05
otu_1003,0.00016825010374504887,0.00014017244802476926,9.081550061060674e-05,5.397776152678403e-05,9.114807111106998e-05,0.0001100873189746884,3.245523608743889e-05,7.551928726666841e-05,0.00010843674612351348,8.781067906706412e-05,0.0004304850913852426,0.0002571908114022345,0.0003181550956219907,2.5421349799855368e-05,0.0001584635433227184,0.00043605650416220015,0.0003879365358481945,0.0003844571628444086,5.4560871160918075e-05,0.0001100101962694963,0.00047918557924966194,9.143442167428057e-05,0.00038358920177766873,0.00014366730307758903,4.664326129055616e-05,8.79875747129875e-05,0.0019615248473514673,0.0013822104981486333,1.8142914493206516e-05,1.330886942933467e-05
otu_1004,0.00021547391446209333,6.624288690803044e-05,7.921845465806413e-05,6.293942853523624e-05,0.00011229427147801585,7.849830022597375e-05,7.007395933620504e-05,0.0004135710741825085,0.00020585487279399858,0.00011550698048181842,4.2573802446662246e-05,6.516148789488981e-05,0.0001788991597627358,0.0004098982091791191,0.00036800918888284684,0.000129963209525952,0.0006987735730212591,7.084879972129062e-05,0.00014403657456650202,0.00025958380615285386,0.00021493532820412246,0.00029586564300159747,9.688204364842413e-05,0.00026313862928186425,0.0004097906116766791,0.00034237728825881134,0.0008963272034878969,0.0004924436147646648,6.643327964362174e-05,0.00045549809346625295
otu_1005,3.993809452157332e-05,0.000414275483165472,7.839410438160538e-05,0.00011991395886642225,0.00017594111787457134,0.00016633484547593863,0.0003763722200761816,0.00018319106116708607,9.433038931914365e-05,3.2007989622072996e-05,0.0003453467673598779,0.00023008314285326753,2.3953924385988435e-05,3.113337603049343e-05,6.45666233855576e-05,6.484930704019991e-05,0.00016062306381898055,0.00010214176112785564,4.595380007709856e-05,0.0002755636224298765,2.282463048788807e-05,0.00012020941121037805,0.0005331719925687416,3.1968430037879895e-05,0.0011023201416738974,5.189912638451952e-05,0.00016624340358149307,9.139608470282625e-05,1.4708797034384383e-05,0.0005316580166611851
otu_1006,0.0007771048598025457,0.0005146662822835842,5.354154547577351e-05,0.00029842690608541505,6.969786532064086e-05,0.00019757955454423996,0.0001245880745039343,0.00032268462225324486,0.0003947042018664336,0.00016827964903328598,1.901712483889309e-05,0.00011265863101293876,0.00012356803417429464,0.00023122813091055498,8.663129961496842e-05,0.0012979944017463736,0.0004464788061532186,0.0002531066073286235,3.279825252746723e-05,0.00025748797045778925,6.63187162889633e-05,0.0003239396046447754,0.00040713916353196764,0.00011783124029772969,0.0001364332148853513,0.0004425339283140259,8.284561813562812e-05,0.00011857791264290867,3.4550438300555267e-05,0.00016992069423740747
otu_1007,0.00029863028171439045,4.903506643065977e-05,0.0003979537453919353,3.0472398824127602e-05,0.0002092605098574538,0.00033628497321569717,5.352507263777696e-05,5.6088088322345486e-05,0.00012721555530353676,0.00011932993612410721,0.00028585878272102726,0.0008421207146672716,1.787085634285725e-05,0.0004639203238399308,7.373020315165952e-05,0.00034386976466159187,0.00040506805135043347,0.0001738891161003235,0.00010638792960823738,0.000241688960629684,0.00017961573216721007,0.00012677547335374003,7.2698601950606e-05,0.000539651662738106,0.0003908980443242189,0.00041021034428239664,3.8175120854973645e-05,0.00016145083458668968,0.0016656354498143843,0.00032470816363203164
otu_1008,0.0004953382225273943,0.00012525877213415273,0.00010232273667321703,0.0005257355307769778,1.6456220128318696e-05,0.00022115885635774166,0.00046058769036325,0.0005432409049493723,8.835193462101933e-05,8.320717104899762e-05,0.00019625567081927762,3.155945699747487e-05,0.0002436577875509991,9.486099704227982e-05,0.00010493144309131214,0.00048387837926900854,0.0005064489625290163,0.0002573854652395131,7.445401979641061e-05,0.00046087368522879053,0.0006779688539927698,9.437585047051017e-05,0.0003409361776268804,7.156515708067717e-05,3.285101305703151e-05,0.0001018779178396086,4.8079036167430363e-05,0.00012056659923439981,0.00019367515111803966,0.0007124086130977655
otu_1009,0.00011056362371297258,0.00013697334149504332,0.00022389797833770615,0.00025465299006679896,4.20263673431202e-05,0.0003964692843441014,7.523671521754351e-05,5.423699594284758e-05,0.00016112555195124014,0.00021486426531421398,0.0002510758454233813,1.5231672112624095e-05,0.00016433210164208187,0.0001555489882222673,0.00024858177012814485,6.365006642857973e-05,6.558096654134705e-05,0.0007950504695909961,0.00012416414716410145,0.00017251750950874362,6.0298495539557086e-05,0.00011466573931860356,0.00027263796199025785,0.0007859744929183619,0.00048061163051867805,0.00010895367228303211,5.906931420226467e-05,0.00023590679021577265,0.0004601403983099531,0.0001463568597576769
